Method,Fields,LocalVariables,AstMaxDepth,Classes,Interfaces,InnerClasses,Path,Project,NominalTabsLeadLines,NominalPunctuationBeforeBrace,AvgFieldsLength,AvgLineLength,AvgMethodsCharacters,AvgMethodsLines,AvgMethodsParameters,AvgVariablesLength,StdDevLineLength,StdDevMethodsParameters,RatioPrivateFields,RatioPublicFields,RatioEmptyLine,RatioTab,RatioLineComment,RatioSpace,RatioWhitespace,RatioIntConstant,RatioJavaDocComment,RatioTernaryOperator,RatioBlockComment,RatioWhile,RatioNull,RatioContinue,RatioElseIf,RatioIf,RatioLambda,RatioStringConstant,RatioFor,RatioBreak,RatioCharConstant,RatioElse,AstTypeAvgDepthstmt.ThrowStmt,AstTypeTFstmt.ThrowStmt,AstTypeAvgDepthexpr.MethodReferenceExpr,AstTypeTFexpr.MethodReferenceExpr,AstTypeAvgDepthstmt.ForeachStmt,AstTypeTFstmt.ForeachStmt,AstTypeAvgDepthbody.AnnotationDeclaration,AstTypeTFbody.AnnotationDeclaration,AstTypeAvgDepthbody.EnumDeclaration,AstTypeTFbody.EnumDeclaration,AstTypeAvgDepthstmt.SynchronizedStmt,AstTypeTFstmt.SynchronizedStmt,AstTypeAvgDepthbody.VariableDeclarator,AstTypeTFbody.VariableDeclarator,AstTypeAvgDepthexpr.BinaryExpr,AstTypeTFexpr.BinaryExpr,AstTypeAvgDepthcomments.LineComment,AstTypeTFcomments.LineComment,AstTypeAvgDepthstmt.SwitchEntryStmt,AstTypeTFstmt.SwitchEntryStmt,AstTypeAvgDepthexpr.MethodCallExpr,AstTypeTFexpr.MethodCallExpr,AstTypeAvgDepthexpr.NameExpr,AstTypeTFexpr.NameExpr,AstTypeAvgDepthbody.AnnotationMemberDeclaration,AstTypeTFbody.AnnotationMemberDeclaration,AstTypeAvgDepthexpr.DoubleLiteralExpr,AstTypeTFexpr.DoubleLiteralExpr,AstTypeAvgDepthstmt.ForStmt,AstTypeTFstmt.ForStmt,AstTypeAvgDepthPackageDeclaration,AstTypeTFPackageDeclaration,AstTypeAvgDepthexpr.SimpleName,AstTypeTFexpr.SimpleName,AstTypeAvgDepthstmt.LocalClassDeclarationStmt,AstTypeTFstmt.LocalClassDeclarationStmt,AstTypeAvgDepthCompilationUnit,AstTypeTFCompilationUnit,AstTypeAvgDepthstmt.DoStmt,AstTypeTFstmt.DoStmt,AstTypeAvgDepthcomments.JavadocComment,AstTypeTFcomments.JavadocComment,AstTypeAvgDepthstmt.LabeledStmt,AstTypeTFstmt.LabeledStmt,AstTypeAvgDepthstmt.ContinueStmt,AstTypeTFstmt.ContinueStmt,AstTypeAvgDepthexpr.SingleMemberAnnotationExpr,AstTypeTFexpr.SingleMemberAnnotationExpr,AstTypeAvgDepthstmt.ExpressionStmt,AstTypeTFstmt.ExpressionStmt,AstTypeAvgDepthstmt.CatchClause,AstTypeTFstmt.CatchClause,AstTypeAvgDepthstmt.EmptyStmt,AstTypeTFstmt.EmptyStmt,AstTypeAvgDepthstmt.SwitchStmt,AstTypeTFstmt.SwitchStmt,AstTypeAvgDepthexpr.ClassExpr,AstTypeTFexpr.ClassExpr,AstTypeAvgDepthtype.PrimitiveType,AstTypeTFtype.PrimitiveType,AstTypeAvgDepthexpr.NormalAnnotationExpr,AstTypeTFexpr.NormalAnnotationExpr,AstTypeAvgDepthexpr.MemberValuePair,AstTypeTFexpr.MemberValuePair,AstTypeAvgDepthcomments.BlockComment,AstTypeTFcomments.BlockComment,AstTypeAvgDepthtype.TypeParameter,AstTypeTFtype.TypeParameter,AstTypeAvgDepthbody.MethodDeclaration,AstTypeTFbody.MethodDeclaration,AstTypeAvgDepthtype.UnknownType,AstTypeTFtype.UnknownType,AstTypeAvgDepthtype.VoidType,AstTypeTFtype.VoidType,AstTypeAvgDepthexpr.CastExpr,AstTypeTFexpr.CastExpr,AstTypeAvgDepthexpr.ThisExpr,AstTypeTFexpr.ThisExpr,AstTypeAvgDepthexpr.ArrayAccessExpr,AstTypeTFexpr.ArrayAccessExpr,AstTypeAvgDepthexpr.TypeExpr,AstTypeTFexpr.TypeExpr,AstTypeAvgDepthexpr.ObjectCreationExpr,AstTypeTFexpr.ObjectCreationExpr,AstTypeAvgDepthexpr.AssignExpr,AstTypeTFexpr.AssignExpr,AstTypeAvgDepthstmt.BlockStmt,AstTypeTFstmt.BlockStmt,AstTypeAvgDepthtype.ArrayType,AstTypeTFtype.ArrayType,AstTypeAvgDepthexpr.EnclosedExpr,AstTypeTFexpr.EnclosedExpr,AstTypeAvgDepthexpr.MarkerAnnotationExpr,AstTypeTFexpr.MarkerAnnotationExpr,AstTypeAvgDepthstmt.TryStmt,AstTypeTFstmt.TryStmt,AstTypeAvgDepthtype.UnionType,AstTypeTFtype.UnionType,AstTypeAvgDepthbody.ConstructorDeclaration,AstTypeTFbody.ConstructorDeclaration,AstTypeAvgDepthexpr.BooleanLiteralExpr,AstTypeTFexpr.BooleanLiteralExpr,AstTypeAvgDepthtype.WildcardType,AstTypeTFtype.WildcardType,AstTypeAvgDepthbody.ClassOrInterfaceDeclaration,AstTypeTFbody.ClassOrInterfaceDeclaration,AstTypeAvgDepthbody.InitializerDeclaration,AstTypeTFbody.InitializerDeclaration,AstTypeAvgDepthstmt.AssertStmt,AstTypeTFstmt.AssertStmt,AstTypeAvgDepthbody.FieldDeclaration,AstTypeTFbody.FieldDeclaration,AstTypeAvgDepthexpr.UnaryExpr,AstTypeTFexpr.UnaryExpr,AstTypeAvgDepthexpr.CharLiteralExpr,AstTypeTFexpr.CharLiteralExpr,AstTypeAvgDepthexpr.VariableDeclarationExpr,AstTypeTFexpr.VariableDeclarationExpr,AstTypeAvgDepthexpr.InstanceOfExpr,AstTypeTFexpr.InstanceOfExpr,AstTypeAvgDepthexpr.ArrayInitializerExpr,AstTypeTFexpr.ArrayInitializerExpr,AstTypeAvgDepthbody.EnumConstantDeclaration,AstTypeTFbody.EnumConstantDeclaration,AstTypeAvgDepthtype.ClassOrInterfaceType,AstTypeTFtype.ClassOrInterfaceType,AstTypeAvgDepthstmt.ReturnStmt,AstTypeTFstmt.ReturnStmt,AstTypeAvgDepthstmt.BreakStmt,AstTypeTFstmt.BreakStmt,AstTypeAvgDepthbody.Parameter,AstTypeTFbody.Parameter,AstTypeAvgDepthstmt.ExplicitConstructorInvocationStmt,AstTypeTFstmt.ExplicitConstructorInvocationStmt,AstTypeAvgDepthexpr.StringLiteralExpr,AstTypeTFexpr.StringLiteralExpr,AstTypeAvgDepthstmt.IfStmt,AstTypeTFstmt.IfStmt,AstTypeAvgDepthstmt.WhileStmt,AstTypeTFstmt.WhileStmt,AstTypeAvgDepthexpr.FieldAccessExpr,AstTypeTFexpr.FieldAccessExpr,AstTypeAvgDepthexpr.SuperExpr,AstTypeTFexpr.SuperExpr,AstTypeAvgDepthexpr.NullLiteralExpr,AstTypeTFexpr.NullLiteralExpr,AstTypeAvgDepthexpr.Name,AstTypeTFexpr.Name,AstTypeAvgDepthImportDeclaration,AstTypeTFImportDeclaration,AstTypeAvgDepthexpr.LongLiteralExpr,AstTypeTFexpr.LongLiteralExpr,AstTypeAvgDepthArrayCreationLevel,AstTypeTFArrayCreationLevel,AstTypeAvgDepthexpr.LambdaExpr,AstTypeTFexpr.LambdaExpr,AstTypeAvgDepthexpr.IntegerLiteralExpr,AstTypeTFexpr.IntegerLiteralExpr,AstTypeAvgDepthexpr.ArrayCreationExpr,AstTypeTFexpr.ArrayCreationExpr,AstTypeAvgDepthexpr.ConditionalExpr,AstTypeTFexpr.ConditionalExpr
4,0,1,10,1,0,0,/home/egor/Work/costan/rawData/ghtorrent-starred/reps/BigDataStudy/ChatServer.java,BigDataStudy,Tabs,Space,0.0,26.68148148148148,561.0,26.0,1.25,1.0,27.26682743528935,0.5,0.0,0.0,0.07407407407407407,0.03720155469183787,2.77623542476402E-4,0.10605219322598557,0.1804553026096613,0.0,5.55247084952804E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138811771238201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.004329004329004329,0.03463203463203463,0.004329004329004329,0.6753246753246753,0.33766233766233766,0.0,0.0,0.1645021645021645,0.025974025974025976,0.2077922077922078,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.004329004329004329,0.9653679653679653,0.1471861471861472,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,0.004329004329004329,0.12554112554112554,0.025974025974025976,0.021645021645021644,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463203463203463,0.017316017316017316,0.0,0.0,0.05194805194805195,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09956709956709957,0.025974025974025976,0.0,0.0,0.0,0.0,0.05194805194805195,0.017316017316017316,0.017316017316017316,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021645021645021644,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.1471861471861472,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.025974025974025976,0.0,0.0,0.12987012987012986,0.021645021645021644,0.0,0.0,0.0,0.0,0.07792207792207792,0.012987012987012988,0.0,0.0,0.0,0.0,0.6883116883116883,0.18614718614718614,0.04329004329004329,0.04329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,7,1,0,0,/home/egor/Work/costan/rawData/ghtorrent-starred/reps/gearconf2013/WicketApplication.java,gearconf2013,Tabs,Other,0.0,19.740740740740737,110.0,6.0,0.0,0.0,27.79885525118531,0.0,0.0,0.0,0.1851851851851852,0.0225140712945591,0.0,0.11069418386491556,0.18198874296435272,0.0,0.005628517823639775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,1.0,0.2333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,11,1,0,0,/home/egor/Work/costan/rawData/ghtorrent-starred/reps/gearconf2013/HomePage.java,gearconf2013,Spaces,Space,16.0,28.0,0.0,0.0,0.0,4.0,28.986305082796274,0.0,1.0,0.0,0.2857142857142857,0.0071428571428571435,0.0010204081632653062,0.15612244897959185,0.19795918367346935,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102040816326529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10465116279069768,0.02325581395348837,0.08139534883720931,0.011627906976744186,0.02325581395348837,0.011627906976744186,0.0,0.0,0.313953488372093,0.04651162790697674,0.11627906976744184,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,1.313953488372093,0.19767441860465115,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093026,0.034883720930232565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651162790697674,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22093023255813954,0.034883720930232565,0.0,0.0,0.034883720930232565,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325581395348837,0.011627906976744186,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.0,0.02325581395348837,0.011627906976744186,0.0,0.0,0.0,0.0,0.05813953488372092,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.4534883720930232,0.08139534883720931,0.0,0.0,0.0,0.0,0.034883720930232565,0.011627906976744186,0.0,0.0,0.4302325581395349,0.05813953488372092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2906976744186047,0.313953488372093,0.05813953488372092,0.05813953488372092,0.04651162790697674,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
